timestamp,user,source_ip,event_type,status,country,device
2026-08-10 08:01:23,jsmith,192.168.1.24,login,success,US,Windows
2026-08-10 08:03:12,jdoe,192.168.1.31,login,success,US,Windows
2026-08-10 08:07:45,asmith,192.168.1.45,login,success,US,MacOS
2026-08-10 08:12:04,jdoe,185.73.44.21,login,failure,Russia,Linux
2026-08-10 08:12:08,jdoe,185.73.44.21,login,failure,Russia,Linux
2026-08-10 08:12:11,jdoe,185.73.44.21,login,failure,Russia,Linux
2026-08-10 08:12:15,jdoe,185.73.44.21,login,failure,Russia,Linux
2026-08-10 08:12:19,jdoe,185.73.44.21,login,failure,Russia,Linux
2026-08-10 08:12:25,jdoe,185.73.44.21,login,success,Russia,Linux
2026-08-10 08:20:41,mgarcia,192.168.1.52,login,success,US,Windows
2026-08-10 08:32:17,jdoe,192.168.1.31,file_access,success,US,Windows
2026-08-10 08:35:02,jdoe,192.168.1.31,file_download,success,US,Windows
2026-08-10 09:01:33,asmith,192.168.1.45,login,failure,US,MacOS
2026-08-10 09:01:36,asmith,192.168.1.45,login,failure,US,MacOS
2026-08-10 09:01:41,asmith,192.168.1.45,login,success,US,MacOS
2026-08-10 09:15:12,jdoe,91.204.17.82,login,failure,China,Linux
2026-08-10 09:15:16,jdoe,91.204.17.82,login,failure,China,Linux
2026-08-10 09:15:19,jdoe,91.204.17.82,login,failure,China,Linux
2026-08-10 09:15:25,jdoe,91.204.17.82,login,failure,China,Linux
2026-08-10 09:15:29,jdoe,91.204.17.82,login,failure,China,Linux
2026-08-10 09:30:44,mgarcia,192.168.1.52,file_access,success,US,Windows
2026-08-10 09:31:02,mgarcia,192.168.1.52,file_download,success,US,Windows
2026-08-10 10:02:11,admin,192.168.1.10,admin_login,success,US,Windows
2026-08-10 10:17:42,admin,203.0.113.42,admin_login,failure,Unknown,Unknown
2026-08-10 10:17:45,admin,203.0.113.42,admin_login,failure,Unknown,Unknown
2026-08-10 10:17:48,admin,203.0.113.42,admin_login,failure,Unknown,Unknown
2026-08-10 10:17:53,admin,203.0.113.42,admin_login,failure,Unknown,Unknown
2026-08-10 10:18:01,admin,203.0.113.42,admin_login,failure,Unknown,Unknown
